objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,redshift,plate,mjd,fiberid,class
1.23764870457714E+018,183.5313256941,0.0896930301,19.47406,17.0424,15.94699,15.50342,15.22531,752,301,4,267,3.72236013965159E+018,-0.000008956,3306,54922,491,STAR
1.23764870457714E+018,183.5983705359,0.1352850322,18.6628,17.21449,16.67637,16.48922,16.3915,752,301,4,267,3.63814405953055E+017,-5.491128E-05,323,51615,541,STAR
1.23764870457721E+018,183.6802074411,0.1261850923,19.38298,18.19169,17.47428,17.08732,16.80125,752,301,4,268,3.2327431957043E+017,0.1231112,287,52023,513,GALAXY
1.23764870457727E+018,183.870529428,0.0499106851,17.76536,16.60272,16.16116,15.98233,15.90438,752,301,4,269,3.72236536233182E+018,-0.0001106159,3306,54922,510,STAR
1.23764870457727E+018,183.8832883008,0.1025567519,17.55025,16.26342,16.43869,16.55492,16.61326,752,301,4,269,3.72236591208763E+018,0.0005903565,3306,54922,512,STAR
1.23764870457727E+018,183.8471735555,0.173694164,19.43133,18.46779,18.16451,18.01475,18.04155,752,301,4,269,3.64954875244603E+017,0.0003146027,324,51666,594,STAR
1.23764870457727E+018,183.8643790231,0.0192007114,19.38322,17.88995,17.10537,16.66393,16.36955,752,301,4,269,3.23286963954149E+017,0.1002423,287,52023,559,GALAXY
1.23764870457727E+018,183.9000814181,0.1874732967,18.97993,17.84496,17.38022,17.20673,17.07071,752,301,4,269,3.72236673672135E+018,0.0003148482,3306,54922,515,STAR
1.23764870457734E+018,183.9245885009,0.0972457823,17.90616,16.97172,16.67541,16.53776,16.47596,752,301,4,270,3.6382924936003E+017,8.911928E-05,323,51615,595,STAR
1.23764870457734E+018,183.9734976789,0.0816255816,18.67249,17.71375,17.49362,17.28284,17.22644,752,301,4,270,3.24369157887912E+017,0.04050813,288,52000,400,GALAXY
1.23764870457734E+018,183.9791944605,0.1359978224,19.29772,17.80227,17.18266,16.92335,16.79928,752,301,4,270,3.72236426282019E+018,-3.457434E-05,3306,54922,506,STAR
1.23764870457741E+018,184.0853310893,0.1121100222,18.83307,17.51785,16.94273,16.71418,16.60521,752,301,4,271,3.72237553281438E+018,0.0006227744,3306,54922,547,STAR
1.23764870457741E+018,184.1020978842,0.1915109165,19.5625,18.19113,17.65759,17.47573,17.39203,752,301,4,271,3.72237470818066E+018,5.466255E-05,3306,54922,544,STAR
1.23764870457741E+018,184.1605101519,0.0756453128,19.5799,17.72815,16.9874,16.68076,16.50426,752,301,4,271,3.72237525793647E+018,8.29558E-06,3306,54922,546,STAR
1.23764870457741E+018,184.1895738042,0.0994824679,19.25667,17.54869,16.63578,16.14922,15.76639,752,301,4,271,3.24366134230936E+017,0.07208736,288,52000,389,GALAXY
1.23764870457747E+018,184.3506465877,0.2072295227,18.73832,18.60962,18.39696,18.31174,17.97663,752,301,4,272,3.23294660535544E+017,0.2719369,287,52023,587,QSO
1.23764870457747E+018,184.2217971674,0.0469551813,19.05958,18.09512,17.92766,17.8927,17.90772,752,301,4,272,3.64801218494622E+017,0.0002099738,324,51666,35,STAR
1.23764870457747E+018,184.2456642874,0.1982570769,19.22143,19.30248,19.13823,19.11351,19.23454,752,301,4,272,3.23293561023916E+017,1.178098,287,52023,583,QSO
1.23764870457754E+018,184.3888695558,0.0682874275,19.04397,17.51106,16.87335,16.61114,16.48303,752,301,4,273,3.63838320330959E+017,0.0002400984,323,51615,628,STAR
1.23764870457754E+018,184.3809191001,0.1743227698,17.81661,16.86976,16.53884,16.19576,16.08668,752,301,4,273,3.23307030041356E+017,0.07277206,287,52023,632,GALAXY
1.23764870457754E+018,184.4668530711,0.1119653211,19.3932,18.48274,18.16551,18.05122,18.04328,752,301,4,273,3.64962846703905E+017,-0.0002702182,324,51666,623,STAR
1.2376487045776E+018,184.5694109244,0.1370914853,17.51339,16.41793,16.06695,15.93751,15.89478,752,301,4,274,3.2437740422512E+017,-3.548175E-05,288,52000,430,STAR
1.2376487045776E+018,184.6541702714,0.1226734459,19.07731,18.64518,18.49678,18.52677,18.45765,752,301,4,274,3.24374930323958E+017,0.9251733,288,52000,421,QSO
1.2376487045776E+018,184.6587954697,0.1599355067,18.63032,17.23437,16.72749,16.51772,16.44039,752,301,4,274,2.880149887696E+018,4.313261E-06,2558,54140,356,STAR
1.2376487045776E+018,184.516834223,0.1455495857,19.21684,18.29956,18.19589,18.14758,18.26658,752,301,4,274,3.72238872695391E+018,8.799958E-05,3306,54922,595,STAR
1.2376487045776E+018,184.6185631232,0.0805762691,19.4127,17.47109,16.4987,16.06502,15.66848,752,301,4,274,3.24379328370469E+017,0.1167829,288,52000,437,GALAXY
1.2376487045776E+018,184.6274078579,0.0132340863,18.48543,17.339,16.90179,16.66712,16.48684,752,301,4,274,3.23308404430891E+017,0.02129653,287,52023,637,GALAXY
1.23764870457767E+018,184.6767619209,0.0594418691,17.72835,16.19783,15.66073,15.51586,15.43615,752,301,4,275,2.88015043745182E+018,0.0001753645,2558,54140,358,STAR
1.23764870457767E+018,184.7119696079,0.0665719009,17.70824,16.61069,16.19772,16.0625,16.00229,752,301,4,275,3.72239889743647E+018,0.0001723799,3306,54922,632,STAR
1.23764870457767E+018,184.7702038548,0.1980100503,18.18974,17.23738,16.89113,16.75727,16.71052,752,301,4,275,2.88014796355066E+018,0.0005198076,2558,54140,349,STAR
1.23764870457767E+018,184.782697712,0.1409793692,19.0764,17.78953,16.98818,16.60519,16.27859,752,301,4,275,3.24389498853026E+017,0.1169446,288,52000,474,GALAXY
